crop_id,crop_name,state,district,seed_cost,fertilizer_cost,pesticide_cost,machinery_rental_cost,labour_cost,irrigation_electricity_cost,total_cost_per_acre
SOYBEAN,Soybean (JS-335),Maharashtra,Pune,4200.0,5800.0,3200.0,5500.0,8100.0,2000.0,28800.0
MAIZE,Maize (Hybrid HQPM-1),Maharashtra,Pune,3500.0,6200.0,2400.0,5200.0,7200.0,1800.0,26300.0
TUR,Tur / Arhar (BDN-711),Maharashtra,Pune,2200.0,4800.0,3800.0,4500.0,7500.0,1500.0,24300.0
COTTON,Cotton (Bt Hybrid),Maharashtra,Pune,3800.0,7500.0,6800.0,5800.0,14200.0,2200.0,40300.0
BAJRA,Bajra (Pearl Millet - HHB 67),Maharashtra,Pune,1800.0,3800.0,1600.0,4200.0,6200.0,1200.0,18800.0
MOONG,Moong (Green Gram - IPM 205-7),Maharashtra,Pune,2400.0,3600.0,2800.0,4000.0,6300.0,1200.0,20300.0
GROUNDNUT,Groundnut (TG-37A),Maharashtra,Pune,6500.0,5200.0,3100.0,5400.0,10300.0,1800.0,32300.0
WHEAT,Wheat (HD-2967),Maharashtra,Pune,3200.0,5400.0,2100.0,4800.0,6800.0,2200.0,24500.0
GRAM,Gram / Chana (Digvijay),Maharashtra,Pune,2800.0,3500.0,2600.0,3900.0,5500.0,1200.0,19500.0
JOWAR,Jowar / Sorghum (CSH-16),Maharashtra,Pune,2000.0,4200.0,1900.0,4400.0,7100.0,1400.0,21000.0
URAD,Urad (Black Gram - TAU-1),Maharashtra,Pune,2300.0,3500.0,2700.0,4100.0,6200.0,1200.0,20000.0
SUNFLOWER,Sunflower (KBSH-53),Maharashtra,Pune,2900.0,5100.0,2800.0,4900.0,7700.0,1600.0,25000.0
SUGARCANE,Sugarcane (Co-86032),Maharashtra,Pune,12000.0,16000.0,5000.0,9000.0,21000.0,5000.0,68000.0
ONION,Onion (Bhima Super),Maharashtra,Pune,5500.0,9500.0,4800.0,6200.0,16000.0,3000.0,45000.0
TOMATO,Tomato (Abhinav),Maharashtra,Pune,6500.0,11000.0,7200.0,6500.0,17800.0,3000.0,52000.0
