"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"103","2008","7","Maharashtra","Pune","61.2","75.5","1233.66","60.9","112.3","1844.01","2.8","3.2","1142.86","427.9","274.6","641.74","430.7","277.8","645.0","34.5","27.0","782.61","17.4","42.18","2424.14","9.1","9.2","1010.99","0.0","0.0","0.0","47.4","35.7","753.16","1.9","1.1","578.95","19.2","7.29","379.69","34.9","36.2","1037.25","1.8","0.6","333.33","0.1","0.1","1000.0","2.3","0.8","347.83","0.0","0.0","0.0","0.0","0.0","0.0","2.7","1.8","666.67","2.4","3.7","1541.67","46.1","43.73","948.59","85.6","833.28","9734.58","0.1","0.05","500.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2009","7","Maharashtra","Pune","62.6","51.18","817.57","59.6","91.81","1540.44","9.9","10.43","1053.54","426.5","314.84","738.19","436.4","325.27","745.35","46.0","33.87","736.3","16.7","42.28","2531.74","9.4","6.26","665.96","0.0","0.0","0.0","54.1","42.55","786.51","2.1","1.31","623.81","19.4","9.09","468.56","39.0","40.92","1049.23","2.0","0.41","205.0","0.1","0.05","500.0","3.3","0.92","278.79","0.1","0.02","200.0","0.0","0.0","0.0","2.6","1.49","573.08","3.3","4.67","1415.15","53.1","49.08","924.29","95.6","911.21","9531.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2010","7","Maharashtra","Pune","60.9","71.92","1180.95","60.0","115.93","1932.17","8.7","8.26","949.43","448.5","330.75","737.46","457.2","339.01","741.49","48.6","43.0","884.77","26.96","75.12","2786.35","9.41","8.6","913.92","0.0","0.0","0.0","58.1","55.16","949.4","2.87","1.75","609.76","29.41","16.95","576.33","40.1","54.21","1351.87","2.1","0.47","223.81","0.0","0.0","0.0","5.0","1.93","386.0","0.1","0.02","200.0","0.0","0.0","0.0","3.0","1.76","586.67","2.9","5.75","1982.76","55.3","64.93","1174.14","111.5","1108.31","9940.0","0.01","0.01","1000.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2011","7","Maharashtra","Pune","62.0","85.6","1380.65","55.3","105.56","1908.86","5.5","5.52","1003.64","173.6","101.05","582.09","179.1","106.57","595.03","50.7","40.7","802.76","27.2","87.1","3202.21","10.3","11.94","1159.22","0.0","0.0","0.0","35.4","32.99","931.92","2.9","1.53","527.59","22.3","10.67","478.48","46.1","52.77","1144.69","1.8","0.52","288.89","0.0","0.0","0.0","0.6","0.15","250.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1.18","590.0","3.9","8.22","2107.69","56.4","63.56","1126.95","129.9","1315.76","10129.02","0.0","0.01","0.0","11.74","47.84","59.58","6.95","32.52","0.0"
"103","2012","7","Maharashtra","Pune","77.6","106.16","1368.04","53.0","93.82","1770.19","4.0","3.42","855.0","177.1","86.99","491.19","181.1","90.42","499.28","36.0","16.72","464.44","25.22","66.06","2619.35","10.6","11.7","1103.77","0.0","0.0","0.0","37.8","26.96","713.23","3.4","0.58","170.59","16.1","6.25","388.2","44.6","43.29","970.63","1.8","0.37","205.56","0.0","0.0","0.0","0.6","0.03","50.0","0.0","0.0","0.0","0.03","0.0","0.0","2.1","0.86","409.52","4.2","8.12","1933.33","56.13","53.61","955.1","137.7","1388.84","10085.98","0.0","0.0","0.0","37.83","25.31","63.14","9.65","0.33","0.0"
"103","2013","7","Maharashtra","Pune","82.1","153.2","1866.02","64.3","129.9","2020.22","3.2","2.7","843.75","251.6","158.8","631.16","254.8","161.5","633.83","49.8","41.6","835.34","31.9","91.9","2880.88","10.6","13.6","1283.02","0.0","0.0","0.0","50.6","41.2","814.23","4.2","2.4","571.43","6.9","1.0","144.93","54.1","52.3","966.73","1.3","0.4","307.69","0.0","0.0","0.0","0.6","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","1.6","0.9","562.5","6.9","26.8","3884.06","42.0","58.8","1400.0","143.9","1696.35","11788.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2014","7","Maharashtra","Pune","82.1","136.1","1657.73","71.8","108.3","1508.36","3.5","1.7","485.71","268.3","131.7","490.87","271.8","133.4","490.8","31.5","26.3","834.92","36.0","133.4","3705.56","12.1","13.2","1090.91","0.0","0.0","0.0","59.9","51.8","864.77","3.0","0.7","233.33","16.4","6.9","420.73","56.1","62.1","1106.95","0.1","0.0","0.0","0.0","0.0","0.0","0.4","0.3","750.0","0.1","0.0","0.0","0.0","0.0","0.0","0.9","0.5","555.56","7.1","11.7","1647.89","67.3","75.2","1117.38","127.8","1383.39","10824.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2015","7","Maharashtra","Pune","54.6","107.3","1965.2","62.0","129.6","2090.32","1.4","1.0","714.29","259.8","116.3","447.65","261.2","117.3","449.08","41.4","29.4","710.14","37.2","88.3","2373.66","3.2","2.7","843.75","0.0","0.0","0.0","63.7","54.5","855.57","1.3","0.6","461.54","32.1","6.5","202.49","25.6","38.9","1519.53","0.73","0.07","95.89","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.02","200.0","0.0","0.0","0.0","0.23","0.04","173.91","16.1","47.0","2919.25","43.9","86.3","1965.83","118.4","1228.54","10376.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2016","7","Maharashtra","Pune","53.5","115.4","2157.01","68.9","165.2","2397.68","1.8","0.4","222.22","277.8","97.6","351.33","279.6","98.0","350.5","30.4","22.2","730.26","42.6","257.4","6042.25","3.5","2.9","828.57","0.0","0.0","0.0","80.5","86.5","1074.53","1.77","1.55","872.53","35.74","12.9","360.87","21.8","28.2","1293.58","0.74","0.19","259.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.13","0.11","872.0","18.0","38.3","2127.78","0.0","0.0","0.0","95.9","907.09","9458.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"103","2017","7","Maharashtra","Pune","52.0","124.0","2384.62","72.4","177.2","2447.51","1.7","1.6","941.18","223.4","163.4","731.42","225.1","165.0","733.01","32.0","23.1","721.88","47.33","146.6","3097.53","2.7","2.2","814.81","0.0","0.0","0.0","90.3","102.7","1137.28","2.0","1.3","650.0","36.53","11.73","320.99","21.69","23.1","1065.2","0.88","0.28","313.99","0.01","0.0","400.0","0.0","0.0","0.0","0.1","0.01","100.0","0.0","0.0","0.0","0.23","0.12","541.48","20.23","40.9","2021.65","0.0","0.0","0.0","113.14","1327.06","11729.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
