State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit,Standard_Crop,Parsed_Date
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-01-2021,5.0,Metric Tonnes,2050.0,Rs./Quintal,Bajra,2021-01-01
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-01-2021,4.0,Metric Tonnes,2300.0,Rs./Quintal,Bajra,2021-01-02
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-01-2021,34.0,Metric Tonnes,1392.74,Rs./Quintal,Bajra,2021-01-03
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-01-2021,7.0,Metric Tonnes,1871.43,Rs./Quintal,Bajra,2021-01-04
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-01-2021,5.0,Metric Tonnes,2250.0,Rs./Quintal,Bajra,2021-01-05
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-01-2021,4.0,Metric Tonnes,2500.0,Rs./Quintal,Bajra,2021-01-06
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-01-2021,4.0,Metric Tonnes,2250.0,Rs./Quintal,Bajra,2021-01-14
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-01-2021,4.0,Metric Tonnes,2212.5,Rs./Quintal,Bajra,2021-01-15
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-01-2021,5.0,Metric Tonnes,2060.0,Rs./Quintal,Bajra,2021-01-16
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),17-01-2021,6.0,Metric Tonnes,1386.67,Rs./Quintal,Bajra,2021-01-17
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),18-01-2021,4.0,Metric Tonnes,2275.0,Rs./Quintal,Bajra,2021-01-18
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),19-01-2021,3.0,Metric Tonnes,2550.0,Rs./Quintal,Bajra,2021-01-19
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),20-01-2021,3.0,Metric Tonnes,2500.0,Rs./Quintal,Bajra,2021-01-20
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),21-01-2021,10.0,Metric Tonnes,1805.0,Rs./Quintal,Bajra,2021-01-21
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),22-01-2021,5.0,Metric Tonnes,1960.0,Rs./Quintal,Bajra,2021-01-22
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),23-01-2021,4.0,Metric Tonnes,2093.75,Rs./Quintal,Bajra,2021-01-23
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),24-01-2021,6.0,Metric Tonnes,1416.67,Rs./Quintal,Bajra,2021-01-24
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),25-01-2021,5.0,Metric Tonnes,1950.0,Rs./Quintal,Bajra,2021-01-25
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),27-01-2021,3.0,Metric Tonnes,2450.0,Rs./Quintal,Bajra,2021-01-27
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),28-01-2021,8.0,Metric Tonnes,1824.13,Rs./Quintal,Bajra,2021-01-28
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),29-01-2021,7.0,Metric Tonnes,1821.43,Rs./Quintal,Bajra,2021-01-29
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),30-01-2021,5.0,Metric Tonnes,1950.0,Rs./Quintal,Bajra,2021-01-30
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),31-01-2021,8.0,Metric Tonnes,1375.0,Rs./Quintal,Bajra,2021-01-31
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-02-2021,5.0,Metric Tonnes,2080.0,Rs./Quintal,Bajra,2021-02-01
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-02-2021,3.0,Metric Tonnes,2700.0,Rs./Quintal,Bajra,2021-02-02
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-02-2021,3.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-02-03
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-02-2021,9.0,Metric Tonnes,1961.11,Rs./Quintal,Bajra,2021-02-04
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-02-2021,6.0,Metric Tonnes,1900.0,Rs./Quintal,Bajra,2021-02-05
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-02-2021,4.0,Metric Tonnes,2600.0,Rs./Quintal,Bajra,2021-02-06
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),07-02-2021,5.0,Metric Tonnes,1480.0,Rs./Quintal,Bajra,2021-02-07
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),09-02-2021,6.0,Metric Tonnes,2183.33,Rs./Quintal,Bajra,2021-02-09
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),10-02-2021,4.0,Metric Tonnes,2650.0,Rs./Quintal,Bajra,2021-02-10
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),11-02-2021,8.0,Metric Tonnes,2018.75,Rs./Quintal,Bajra,2021-02-11
