crop_id,crop_name,season,seed_cost,fertilizer_cost,pesticide_cost,machinery_rental_cost,labour_cost,irrigation_electricity_cost,operational_cost_a2_inr_per_acre,family_labor_cost_per_acre,total_cost_a2_fl_inr_per_acre,cacp_source
SOYBEAN,Soybean,Kharif,2250.0,2450.0,1350.0,1950.0,2850.0,394.0,19412.0,1863.0,21275.0,CACP Kharif 2024-25 (Para 5.11)
WHEAT,Wheat,Rabi,1850.0,3100.0,650.0,4200.0,4550.0,2232.0,16582.0,3918.0,20500.0,CACP Rabi 2024-25 (Para 5.10)
GRAM,Gram (Chickpea),Rabi,2100.0,1850.0,950.0,2250.0,2950.0,639.0,13465.0,2384.0,15849.0,CACP Rabi 2024-25 (Para 5.12)
TUR,Tur (Pigeon Pea),Kharif,1150.0,2450.0,1650.0,3100.0,4850.0,845.0,24436.0,5614.0,30050.0,CACP Kharif 2024-25 (Para 5.10)
MOONG,Moong,Kharif,1250.0,1650.0,950.0,2350.0,3650.0,605.0,14015.0,3045.0,17060.0,CACP Kharif 2024-25 (Para 5.10)
URAD,Urad,Kharif,1150.0,1550.0,850.0,1950.0,3450.0,525.0,12202.0,3347.0,15549.0,CACP Kharif 2024-25 (Para 5.10)
BAJRA,Bajra,Kharif,750.0,1950.0,450.0,2100.0,3450.0,490.0,17264.0,5691.0,22955.0,CACP Kharif 2024-25 (Para 5.9)
SUGARCANE,Sugarcane,Annual,6850.0,8950.0,2450.0,5200.0,12450.0,2465.0,57053.0,9844.0,66897.0,CACP Sugar Season 2024-25 (Para 5.8)
GROUNDNUT,Groundnut,Kharif,4850.0,2950.0,1250.0,3450.0,5450.0,969.0,30351.0,9540.0,39891.0,CACP Kharif 2024-25 (Para 5.11)
PADDY,Paddy (Rice),Kharif,1850.0,3450.0,1150.0,3250.0,5850.0,1450.0,25900.0,6430.0,32330.0,CACP Kharif 2024-25 (Para 5.9)
COTTON,Cotton,Kharif,2150.0,3850.0,2650.0,2950.0,5450.0,780.0,26300.0,5265.0,31565.0,CACP Kharif 2024-25 (Para 5.12)
MAIZE,Maize,Kharif,1950.0,3250.0,850.0,2650.0,3950.0,543.0,18211.0,4047.0,22258.0,CACP Kharif 2024-25 (Para 5.9)
SUNFLOWER,Sunflower,Kharif,950.0,1350.0,450.0,950.0,1450.0,219.0,13152.0,2428.0,15580.0,CACP Kharif 2024-25 (Para 5.11)
ONION,Onion,Kharif/Rabi,3850.0,5450.0,2850.0,3850.0,8950.0,1355.0,41278.0,10522.0,51800.0,ICAR-DOGR Pune / NHB Norms
TOMATO,Tomato,Kharif/Rabi,4650.0,6850.0,3950.0,4150.0,10250.0,1716.0,52002.0,12950.0,64952.0,NHB / MPKV Rahuri Norms
