State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),01-01-2021,5.0,Metric Tonnes,2050.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),01-01-2021,14.0,Metric Tonnes,4450.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,01-01-2021,6.0,Metric Tonnes,3766.67,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),02-01-2021,4.0,Metric Tonnes,2300.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),02-01-2021,14.0,Metric Tonnes,4550.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,02-01-2021,6.0,Metric Tonnes,3691.67,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),03-01-2021,34.0,Metric Tonnes,1392.74,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),03-01-2021,8.0,Metric Tonnes,2500.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,03-01-2021,54.0,Metric Tonnes,1411.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,03-01-2021,38.0,Metric Tonnes,1594.74,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),04-01-2021,7.0,Metric Tonnes,1871.43,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),04-01-2021,27.0,Metric Tonnes,3403.7,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,04-01-2021,5.0,Metric Tonnes,1292.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,04-01-2021,26.0,Metric Tonnes,2183.71,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),05-01-2021,5.0,Metric Tonnes,2250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),05-01-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,05-01-2021,5.0,Metric Tonnes,4150.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),06-01-2021,4.0,Metric Tonnes,2500.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),06-01-2021,14.0,Metric Tonnes,4800.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,06-01-2021,6.0,Metric Tonnes,4150.0,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),14-01-2021,4.0,Metric Tonnes,2250.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),14-01-2021,14.0,Metric Tonnes,4650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Maize,14-01-2021,19.0,Metric Tonnes,1362.11,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,14-01-2021,57.0,Metric Tonnes,1999.82,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),15-01-2021,4.0,Metric Tonnes,2212.5,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),15-01-2021,14.0,Metric Tonnes,4600.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,15-01-2021,7.0,Metric Tonnes,3657.14,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),16-01-2021,5.0,Metric Tonnes,2060.0,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),16-01-2021,14.0,Metric Tonnes,4650.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,16-01-2021,7.0,Metric Tonnes,3685.71,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),17-01-2021,6.0,Metric Tonnes,1386.67,Rs./Quintal
Maharashtra,Pune,Cereals,Jowar(Sorghum),17-01-2021,1.0,Metric Tonnes,1425.0,Rs./Quintal
Maharashtra,Pune,Cereals,Wheat,17-01-2021,18.0,Metric Tonnes,1730.56,Rs./Quintal
Maharashtra,Pune,Cereals,Bajra(Pearl Millet/Cumbu),18-01-2021,4.0,Metric Tonnes,2275.0,Rs./Quintal
