State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Fibre Crops,Cotton,07-08-2021,111.0,Metric Tonnes,120.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,02-11-2022,3.0,Metric Tonnes,7400.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,05-11-2022,3.0,Metric Tonnes,7600.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,09-11-2022,2.0,Metric Tonnes,8500.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,16-11-2022,5.0,Metric Tonnes,8800.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,19-11-2022,6.0,Metric Tonnes,8900.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,26-11-2022,4.0,Metric Tonnes,8690.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,30-11-2022,5.0,Metric Tonnes,8400.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,03-12-2022,4.0,Metric Tonnes,8550.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,07-12-2022,6.0,Metric Tonnes,8000.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,10-12-2022,4.0,Metric Tonnes,8200.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,17-12-2022,2.0,Metric Tonnes,8200.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,24-12-2022,10.0,Metric Tonnes,7660.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,28-12-2022,3.0,Metric Tonnes,7011.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,31-12-2022,2.0,Metric Tonnes,7500.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,07-01-2023,1.0,Metric Tonnes,8051.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,21-01-2023,1.0,Metric Tonnes,7500.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,28-01-2023,1.0,Metric Tonnes,6500.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,04-02-2023,2.0,Metric Tonnes,7460.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,11-02-2023,1.0,Metric Tonnes,7400.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,20-02-2023,3.0,Metric Tonnes,7590.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,25-02-2023,2.0,Metric Tonnes,7700.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,01-03-2023,2.0,Metric Tonnes,7245.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,08-03-2023,2.0,Metric Tonnes,7341.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,15-03-2023,1.0,Metric Tonnes,7222.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,05-04-2023,1.0,Metric Tonnes,7300.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,08-04-2023,1.0,Metric Tonnes,7000.0,Rs./Quintal
Maharashtra,Pune,Fibre Crops,Cotton,19-04-2023,2.0,Metric Tonnes,7000.0,Rs./Quintal
