State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Oil Seeds,Groundnut,01-01-2021,2.00,Metric Tonnes,3700.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,01-01-2021,31.00,Metric Tonnes,4343.23,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,01-01-2021,1.00,Metric Tonnes,5291.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,03-01-2021,1.00,Metric Tonnes,3800.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,04-01-2021,1.00,Metric Tonnes,4000.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,05-01-2021,9.00,Metric Tonnes,4250.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,15-01-2021,4.00,Metric Tonnes,4701.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,15-01-2021,4.00,Metric Tonnes,4150.75,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,15-01-2021,2.00,Metric Tonnes,5300.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,19-01-2021,7.00,Metric Tonnes,4375.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,22-01-2021,3.00,Metric Tonnes,4800.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,22-01-2021,10.00,Metric Tonnes,4323.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,22-01-2021,1.00,Metric Tonnes,5119.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,29-01-2021,1.00,Metric Tonnes,4500.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,29-01-2021,6.00,Metric Tonnes,4390.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,29-01-2021,3.00,Metric Tonnes,5581.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,04-02-2021,1.00,Metric Tonnes,4200.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,05-02-2021,2.00,Metric Tonnes,4970.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,05-02-2021,17.00,Metric Tonnes,4400.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,05-02-2021,3.00,Metric Tonnes,5321.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,12-02-2021,1.00,Metric Tonnes,4800.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,12-02-2021,23.00,Metric Tonnes,4550.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,12-02-2021,1.00,Metric Tonnes,5200.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,19-02-2021,1.00,Metric Tonnes,5151.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,19-02-2021,5.00,Metric Tonnes,4821.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,19-02-2021,1.00,Metric Tonnes,5500.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,27-02-2021,1.00,Metric Tonnes,4900.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,27-02-2021,11.00,Metric Tonnes,4991.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,27-02-2021,2.00,Metric Tonnes,5700.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,05-03-2021,9.00,Metric Tonnes,4500.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,05-03-2021,3.00,Metric Tonnes,5551.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,12-03-2021,1.00,Metric Tonnes,5051.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Soyabean,12-03-2021,10.00,Metric Tonnes,5167.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Sunflower/Sunflower Seed,12-03-2021,4.00,Metric Tonnes,6011.00,Rs./Quintal
Maharashtra,Pune,Oil Seeds,Groundnut,13-03-2021,2.00,Metric Tonnes,4300.00,Rs./Quintal
