State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),01-01-2021,2.0,Metric Tonnes,5700.0,Rs./Quintal
Maharashtra,Pune,Pulses,Green Gram(Moong)(Whole),01-01-2021,2.0,Metric Tonnes,8800.0,Rs./Quintal
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),02-01-2021,2.0,Metric Tonnes,5650.0,Rs./Quintal
Maharashtra,Pune,Pulses,Green Gram(Moong)(Whole),02-01-2021,2.0,Metric Tonnes,8650.0,Rs./Quintal
Maharashtra,Pune,Pulses,Red gram/Arhar/Tur(whole),02-01-2021,1.0,Metric Tonnes,4750.0,Rs./Quintal
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),03-01-2021,2.0,Metric Tonnes,3600.0,Rs./Quintal
Maharashtra,Pune,Pulses,Black Gram(Urd Beans)(Whole),03-01-2021,1.0,Metric Tonnes,5100.0,Rs./Quintal
Maharashtra,Pune,Pulses,Red gram/Arhar/Tur(whole),03-01-2021,27.0,Metric Tonnes,5200.0,Rs./Quintal
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),04-01-2021,2.0,Metric Tonnes,5700.0,Rs./Quintal
Maharashtra,Pune,Pulses,Green Gram(Moong)(Whole),04-01-2021,2.0,Metric Tonnes,8450.0,Rs./Quintal
Maharashtra,Pune,Pulses,Red gram/Arhar/Tur(whole),04-01-2021,13.0,Metric Tonnes,5250.0,Rs./Quintal
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),05-01-2021,2.0,Metric Tonnes,5700.0,Rs./Quintal
Maharashtra,Pune,Pulses,Green Gram(Moong)(Whole),05-01-2021,2.0,Metric Tonnes,8450.0,Rs./Quintal
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),06-01-2021,2.0,Metric Tonnes,5700.0,Rs./Quintal
Maharashtra,Pune,Pulses,Green Gram(Moong)(Whole),06-01-2021,2.0,Metric Tonnes,8450.0,Rs./Quintal
Maharashtra,Pune,Pulses,Bengal Gram(Gram)(Whole),14-01-2021,2.0,Metric Tonnes,5800.0,Rs./Quintal
