State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity,Arrival Unit,Modal Price,Price Unit
Maharashtra,Pune,Vegetables,Onion,01-01-2021,1579.0,Metric Tonnes,2265.11,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,01-01-2021,329.0,Metric Tonnes,884.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,02-01-2021,639.0,Metric Tonnes,2464.4,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,02-01-2021,116.0,Metric Tonnes,632.76,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,03-01-2021,2444.0,Metric Tonnes,1999.47,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,03-01-2021,494.0,Metric Tonnes,709.21,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,04-01-2021,1327.0,Metric Tonnes,1800.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,04-01-2021,235.0,Metric Tonnes,732.34,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,05-01-2021,3002.0,Metric Tonnes,2223.12,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,05-01-2021,278.0,Metric Tonnes,698.74,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,06-01-2021,1784.0,Metric Tonnes,2126.35,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,06-01-2021,101.0,Metric Tonnes,656.44,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,09-01-2021,4.0,Metric Tonnes,650.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,10-01-2021,371.0,Metric Tonnes,2425.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,10-01-2021,84.0,Metric Tonnes,600.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,11-01-2021,21.0,Metric Tonnes,1600.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,11-01-2021,35.0,Metric Tonnes,400.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,12-01-2021,69.0,Metric Tonnes,550.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,13-01-2021,43.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,14-01-2021,1098.0,Metric Tonnes,2228.92,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,14-01-2021,113.0,Metric Tonnes,466.81,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,15-01-2021,1639.0,Metric Tonnes,2224.13,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,15-01-2021,226.0,Metric Tonnes,515.93,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,16-01-2021,32.0,Metric Tonnes,2075.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,16-01-2021,146.0,Metric Tonnes,746.58,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,17-01-2021,2432.0,Metric Tonnes,2172.96,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,17-01-2021,361.0,Metric Tonnes,419.94,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,18-01-2021,1470.0,Metric Tonnes,2337.31,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,18-01-2021,330.0,Metric Tonnes,486.06,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,19-01-2021,2878.0,Metric Tonnes,2352.77,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,19-01-2021,372.0,Metric Tonnes,447.98,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,20-01-2021,2341.0,Metric Tonnes,2431.57,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,20-01-2021,251.0,Metric Tonnes,622.71,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,21-01-2021,2871.0,Metric Tonnes,2287.41,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,21-01-2021,296.0,Metric Tonnes,490.03,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,22-01-2021,2968.0,Metric Tonnes,2326.08,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,22-01-2021,285.0,Metric Tonnes,404.56,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,23-01-2021,49.0,Metric Tonnes,2150.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,23-01-2021,92.0,Metric Tonnes,456.52,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,24-01-2021,3066.0,Metric Tonnes,2155.04,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,24-01-2021,344.0,Metric Tonnes,529.51,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,25-01-2021,1427.0,Metric Tonnes,1904.63,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,25-01-2021,282.0,Metric Tonnes,509.75,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,26-01-2021,914.0,Metric Tonnes,2019.29,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,26-01-2021,80.0,Metric Tonnes,500.38,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,27-01-2021,1969.0,Metric Tonnes,1981.95,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,27-01-2021,315.0,Metric Tonnes,694.29,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,28-01-2021,2238.0,Metric Tonnes,1843.97,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,28-01-2021,284.0,Metric Tonnes,451.76,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,29-01-2021,2268.0,Metric Tonnes,2027.07,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,29-01-2021,238.0,Metric Tonnes,494.96,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,30-01-2021,14.0,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,30-01-2021,23.0,Metric Tonnes,508.7,Rs./Quintal
Maharashtra,Pune,Vegetables,Onion,31-01-2021,2812.0,Metric Tonnes,2109.58,Rs./Quintal
Maharashtra,Pune,Vegetables,Tomato,31-01-2021,305.0,Metric Tonnes,563.11,Rs./Quintal
