"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Maharashtra","Pune","Rice","Kharif","0.61","1.83","2983.00"
"Maharashtra","Pune","Rice","Total","0.61","1.83","2983.00"
"Maharashtra","Pune","Wheat","Rabi","0.42","0.93","2200.00"
"Maharashtra","Pune","Wheat","Total","0.42","0.93","2200.00"
"Maharashtra","Pune","Maize","Kharif","0.37","0.93","2539.00"
"Maharashtra","Pune","Maize","Rabi","0.26","0.97","3698.00"
"Maharashtra","Pune","Maize","Summer","0.07","0.12","1748.00"
"Maharashtra","Pune","Maize","Total","0.70","2.02","2900.00"
"Maharashtra","Pune","Jowar","Kharif","0.00","0.00","658.00"
"Maharashtra","Pune","Jowar","Rabi","0.88","1.00","1142.00"
"Maharashtra","Pune","Jowar","Total","0.88","1.00","1141.00"
"Maharashtra","Pune","Bajra","Kharif","0.44","0.72","1629.00"
"Maharashtra","Pune","Bajra","Summer","0.05","0.04","910.00"
"Maharashtra","Pune","Bajra","Total","0.49","0.76","1559.00"
"Maharashtra","Pune","Ragi","Kharif","0.02","0.02","1099.00"
"Maharashtra","Pune","Ragi","Total","0.02","0.02","1099.00"
"Maharashtra","Pune","Small Millets","Kharif","0.01","0.01","583.00"
"Maharashtra","Pune","Small Millets","Total","0.01","0.01","583.00"
"Maharashtra","Pune","Shree Anna /Nutri Cereals","Kharif","0.47","0.74","1590.00"
"Maharashtra","Pune","Shree Anna /Nutri Cereals","Rabi","0.88","1.00","1142.00"
"Maharashtra","Pune","Shree Anna /Nutri Cereals","Summer","0.05","0.04","910.00"
"Maharashtra","Pune","Shree Anna /Nutri Cereals","Total","1.39","1.79","1284.00"
"Maharashtra","Pune","Nutri/Coarse Cereals","Kharif","0.84","1.68","2008.00"
"Maharashtra","Pune","Nutri/Coarse Cereals","Rabi","1.14","1.97","1727.00"
"Maharashtra","Pune","Nutri/Coarse Cereals","Summer","0.11","0.16","1396.00"
"Maharashtra","Pune","Nutri/Coarse Cereals","Total","2.09","3.81","1821.00"
"Maharashtra","Pune","Cereals","Kharif","1.45","3.51","2422.00"
"Maharashtra","Pune","Cereals","Rabi","1.56","2.90","1855.00"
"Maharashtra","Pune","Cereals","Summer","0.11","0.16","1396.00"
"Maharashtra","Pune","Cereals","Total","3.13","6.57","2101.00"
"Maharashtra","Pune","Tur","Kharif","0.02","0.01","748.00"
"Maharashtra","Pune","Tur","Total","0.02","0.01","748.00"
"Maharashtra","Pune","Gram","Rabi","0.28","0.29","1056.00"
"Maharashtra","Pune","Gram","Total","0.28","0.29","1056.00"
"Maharashtra","Pune","Urad","Kharif","0.02","0.01","431.00"
"Maharashtra","Pune","Urad","Summer","0.00","0.00","539.00"
"Maharashtra","Pune","Urad","Total","0.03","0.01","435.00"
"Maharashtra","Pune","Moong","Kharif","0.13","0.07","535.00"
"Maharashtra","Pune","Moong","Summer","0.00","0.00","184.00"
"Maharashtra","Pune","Moong","Total","0.13","0.07","534.00"
"Maharashtra","Pune","Other Pulses","Kharif","0.09","0.04","461.00"
"Maharashtra","Pune","Other Pulses","Rabi","0.06","0.03","431.00"
"Maharashtra","Pune","Other Pulses","Total","0.15","0.07","449.00"
"Maharashtra","Pune","Total Pulses","Total","0.60","0.45","756.00"
"Maharashtra","Pune","Total Food Grains","Kharif","1.71","3.64","2133.00"
"Maharashtra","Pune","Total Food Grains","Rabi","1.90","3.22","1694.00"
"Maharashtra","Pune","Total Food Grains","Summer","0.11","0.16","1384.00"
"Maharashtra","Pune","Total Food Grains","Total","3.72","7.02","1886.00"
